Measure,Value,Relationship,First Update,Last Update,Treatment,Seed
Resource Transfer Ratio,0.0031704403287610996,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.9999869791666667,Nondirect Propagule Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,34518.47453647069,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,10663936.0,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,9738480.213805538,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.003236935643318817,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.9132163034179441,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.003532024881743513,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.7231944444444445,Related Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,4612.639803900573,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,9457104.0,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,7099047.136140225,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.00048774337301361734,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.7506576152847876,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.0006493328719825297,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.6413509114583333,Nondirect Cell Relative,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Resource Shared,2905.7316394259465,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Incidence,4081664.0,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Total Source Stockpile,2028317.9417899272,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Rate,0.0007118987842766936,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Mean Source Stockpile,0.49693407928480327,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Resource Transfer Ratio,0.001430532578679602,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
Relationship Frequency,0.2768055555555556,Unrelated Neighbor,262144,263168,resource-even__channelsense-yes__nlev-onebig,1004
